date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2015-01-16,Kempoku,Date county Kunimi town,Wild boar,790
2015-01-16,Aizu,Onuma county Aizumisato town,Japanese sika deer,14
2015-01-20,Aizu,Onuma county Aizumisato town,Black bear,57
2015-01-22,Kempoku,Date county Kunimi town,Wild boar,520
2015-01-25,Kempoku,Nihommatsu city,Wild boar,450
2015-01-25,Kempoku,Nihommatsu city,Wild boar,460
2015-01-26,Kempoku,Date county Kunimi town,Wild boar,310
2015-01-29,Aizu,Yama county Nishiaizu town,Wild boar,24
2015-01-31,Soso,Soma city,Copper pheasant,190
2015-02-04,Kempoku,Date county Kunimi town,Wild boar,170
2015-02-05,Aizu,Yama county Nishiaizu town,Wild boar,25
2015-02-06,Kenchu,Tamura city,Wild boar,260
2015-02-07,Kenchu,Tamura city,Wild boar,290
2015-02-08,Kenchu,Sukagawa city,Wild boar,52
2015-02-08,Kenchu,Iwase county Tenei village,Japanese sika deer,85
2015-02-09,Kempoku,Date county Kunimi town,Wild boar,740
2015-02-11,Kenchu,Sukagawa city,Wild boar,180
2015-02-11,Kenchu,Sukagawa city,Wild boar,43
2015-02-12,Kenchu,Tamura city,Wild boar,3400
2015-02-13,Kenchu,Tamura city,Wild boar,160
2015-02-13,Soso,Minamisoma city,Wild boar,5800
2015-02-13,Soso,Minamisoma city,Wild boar,8600
2015-02-13,Soso,Minamisoma city,Wild boar,10000
2015-02-13,Soso,Minamisoma city,Wild boar,30000
2015-02-15,Kenchu,Sukagawa city,Wild boar,300
2015-02-15,Kenchu,Tamura city,Wild boar,350
2015-02-15,Kenchu,Tamura city,Wild boar,490
2015-02-16,Kempoku,Date county Kunimi town,Wild boar,530
2015-02-18,Kempoku,Date county Kunimi town,Wild boar,360
2015-02-21,Kenchu,Tamura city,Wild boar,1300
2015-02-22,Soso,Minamisoma city,Wild boar,270
2015-02-25,Kempoku,Date county Kunimi town,Wild boar,300
2015-02-26,Kempoku,Date county Kunimi town,Wild boar,330
2015-02-27,Kenchu,Sukagawa city,Wild boar,900
2015-02-27,Soso,Futaba county Katsurao village,Wild boar,5700
2015-03-01,Soso,Minamisoma city,Wild boar,9800
2015-03-03,Soso,Futaba county Tomioka town,Wild boar,3800
2015-03-04,Kempoku,Nihommatsu city,Wild boar,320
2015-03-05,Kenchu,Tamura city,Wild boar,580
2015-03-06,Soso,Futaba county Katsurao village,Wild boar,3400
2015-03-07,Kempoku,Nihommatsu city,Wild boar,1600
2015-03-07,Kempoku,Nihommatsu city,Wild boar,1300
