﻿Sampling date,Announcement date,Sampling point,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Type of sample,131I Radioactivity concentration (Bq/kg),131I Detection limit (Bq/kg),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),134Cs+137Cs Radioactivity concentration (Bq/kg),134Cs+137Cs Detection limit (Bq/kg),134Cs+137CsExceeded reference value ,89SrRadioactivity concenteration(Bq/kg),89SrDetectedLower Limit (Bq/kg),90SrRadioactivity concenteration(Bq/kg),90SrDetectedLower Limit (Bq/kg),238PuRadioactivity concenteration(Bq/kg),238PuDetectedLower Limit (Bq/kg),239Pu+240PuRadioactivity concenteration(Bq/kg),239Pu+240PuDetectedLower Limit (Bq/kg),241Am Radioactivity concentration (Bq/kg),241Am DetectedLower Limit (Bq/Kg),Remarks
2015-03-15,2015-08-01,,37.333333,141.100000,11.5,Rockfish,,,2.4E+00,,9.1E+00,,,,,ND,3.6E-01,4.9E-02,,,,,,,,Portion measured - whole body (without internal organs)
2015-04-07,2015-06-30,,36.883333,140.800000,63.3,Japanese sandlance,,,1.7E-01,,5.9E-01,,,,,ND,1.4E-02,ND,5.6E-03,,,,,,,Portion measured - whole body
2015-04-07,2015-06-30,,36.883333,140.800000,63.3,Japanese sandlance,,,2.4E-01,,9.7E-01,,,,,ND,1.8E-02,ND,4.0E-03,,,,,,,Portion measured - whole body
2015-04-14,2015-10-08,,40.916666,141.766666,393.7,Alaska pollock,,,2.4E-02,,1.2E-01,,,,,ND,1.3E-01,ND,7.8E-03,,,,,,,Portion measured - whole body (without internal organs)
2015-04-14,2015-10-08,,40.916666,141.766666,393.7,Pacific cod,,,7.0E-01,,2.6E+00,,,,,ND,6.5E-02,ND,3.8E-03,,,,,,,Portion measured - whole body (without internal organs)
2015-04-17,2015-10-08,,37.616666,141.600000,54.6,Alaska pollock,,,6.2E-02,,2.9E-01,,,,,ND,6.0E-02,ND,6.4E-03,,,,,,,Portion measured - whole body (without internal organs)
2015-04-17,2015-10-08,,37.616666,141.600000,54.6,Pacific cod,,,6.6E-02,,2.8E-01,,,,,ND,7.3E-02,ND,6.1E-03,,,,,,,Portion measured - whole body (without internal organs)
2015-04-20,2015-06-30,,37.883333,141.016666,51.4,Japanese sandlance,,,1.8E-01,,6.8E-01,,,,,ND,1.2E-02,ND,4.5E-03,,,,,,,Portion measured - whole body
2015-04-20,2015-06-30,,37.883333,141.016666,51.4,Japanese sandlance,,,2.0E-01,,7.3E-01,,,,,ND,1.5E-02,ND,4.2E-03,,,,,,,Portion measured - whole body
2015-07-14,2015-10-08,,37.783333,141.016666,40.2,Whitebait,,,4.2E-02,,2.1E-01,,,,,ND,6.2E-02,ND,2.7E-03,,,,,,,Portion measured - whole body
2015-07-14,2015-10-08,,37.783333,141.016666,40.2,Whitebait,,,4.4E-02,,2.7E-01,,,,,ND,1.2E-02,ND,3.5E-03,,,,,,,Portion measured - whole body
