Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-10-23,13:10,2013-10-24,13:10,,,2013-10-23,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,2.1E-04,,ND,,ND,
2013-10-23,13:38,2013-10-24,13:38,,,2013-10-23,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,4.7E-04,,ND,,ND,
2013-10-23,14:05,2013-10-24,14:05,,,2013-10-23,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.5E+00,ND,,ND,,4.5E-04,,ND,,ND,
2013-10-23,14:35,2013-10-24,14:35,,,2013-10-23,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.2E+00,ND,,ND,,3.3E-04,,ND,,ND,
2013-10-23,14:58,2013-10-24,14:58,,,2013-10-23,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-11-06,13:07,2013-11-07,13:07,,,2013-11-06,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2013-11-06,13:30,2013-11-07,13:30,,,2013-11-06,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,3.0E-04,,ND,,ND,
2013-11-06,09:19,2013-11-06,15:19,,,2013-11-06,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.4E+00,ND,,4.8E-03,,1.2E-02,,ND,,ND,
2013-11-06,13:55,2013-11-07,13:55,,,2013-11-06,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.4E+00,ND,,ND,,3.5E-04,,ND,,ND,
2013-11-06,14:19,2013-11-07,14:19,,,2013-11-06,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.3E+00,ND,,4.7E-04,,8.5E-04,,ND,,ND,
